Polygon1_Index,Polygon2_Index,DICE
253,3,0.0432161652881223
255,176,0.9203290409966115
258,170,0.8825206298528914
259,222,0.9350743695268726
260,223,0.8572166035801304
261,177,0.8255445670265832
262,214,0.9305081375020848
263,116,0.9170348179377673
264,60,0.016035673913021933
264,212,0.8737528112679745
265,145,0.9236088106882284
266,203,0.8736964205533904
267,173,0.8650064651323403
269,44,0.7280570419168022
270,7,0.8057777955995358
271,88,0.2308030597136007
272,55,0.9742243153068817
273,55,0.9742243153068817
274,56,0.9552951923521571
275,50,0.9688826141501412
276,50,0.9688826141501412
279,40,0.944539712949382
280,61,0.9102585917723955
280,60,0.014368001437616173
280,226,0.01263627039608823
281,61,0.0434766724336254
281,60,0.9146793059610989
283,18,0.9630122441397715
283,53,0.013982601645590391
284,53,0.9383229034278492
285,0,0.9218850980735372
286,36,0.9392660594392197
287,43,0.9067955990949328
288,45,0.9072683787460128
289,46,0.9036328439690456
290,58,0.017733357333963497
291,58,0.9146518601634216
291,89,0.02211668338097323
292,62,0.9672762948045424
293,62,0.010400676800118205
294,51,0.36976243784108537
294,52,0.04177571206088566
294,54,0.48556564413623526
295,42,0.8908979981600039
296,41,0.8518429635127248
297,35,0.4147129350356301
299,2,0.8643739678753265
302,25,0.9023402246232854
303,24,0.8601673104116169
304,28,0.9469348199710789
305,66,0.9056851709004139
306,33,0.862832017976621
307,29,0.42325711479616174
308,32,0.8939884940767499
309,31,0.9174025376278611
310,22,0.8532190256343242
311,23,0.8567015248701461
311,72,0.02683877592106567
311,195,0.02951277027532412
312,30,0.7864364247542823
313,67,0.8110418348797684
317,81,0.2734431409420555
317,85,0.022987958526620115
318,49,0.9136512415820269
319,142,0.24331989992587227
322,71,0.6473275856503441
322,4,0.016969669943722548
322,169,0.021131429032119946
323,121,0.6953431536316627
324,21,0.8604059457395316
325,37,0.7810758936948387
326,146,0.9367712090071039
327,47,0.9161088204196274
327,199,0.042304859379641895
328,48,0.8754168248952734
333,112,0.8883465731115029
334,15,0.8133785081081301
335,53,0.017997426832607202
335,17,0.636001767099303
336,1,0.8627184249902404
336,141,0.024720372760156224
336,171,0.18826061786343282
337,1,0.011632669027836728
337,64,0.6742801207731833
338,8,0.5561986214367558
